date,usd_idr,us10y_yield
2016-07-01,13177.0,1.4559999704360962
2016-07-04,13115.0,
2016-07-05,13060.0,1.3669999837875366
2016-07-06,13160.0,1.3849999904632568
2016-07-07,13212.0,1.3869999647140503
2016-07-08,13100.0,1.3660000562667847
2016-07-11,13105.0,1.434000015258789
2016-07-12,13120.0,1.5130000114440918
2016-07-13,13075.0,1.468000054359436
2016-07-14,13015.0,1.531000018119812
2016-07-15,13020.0,1.593999981880188
2016-07-18,13062.0,1.5870000123977661
2016-07-19,13078.0,1.5579999685287476
2016-07-20,13093.0,1.5800000429153442
2016-07-21,13105.0,1.565000057220459
2016-07-22,13111.0,1.5700000524520874
2016-07-25,13113.0,1.5709999799728394
2016-07-26,13095.0,1.562999963760376
2016-07-27,13162.0,1.5149999856948853
2016-07-28,13098.0,1.5110000371932983
2016-07-29,13058.0,1.4579999446868896
2016-08-01,13020.0,1.496000051498413
2016-08-02,13010.0,1.5369999408721924
2016-08-03,13092.0,1.5420000553131104
2016-08-04,13140.0,1.503000020980835
2016-08-05,13103.0,1.5820000171661377
2016-08-08,13122.0,1.5829999446868896
2016-08-09,13105.0,1.5449999570846558
2016-08-10,13101.0,1.5089999437332153
2016-08-11,13083.0,1.5729999542236328
2016-08-12,13098.0,1.5149999856948853
2016-08-15,13106.0,1.5529999732971191
2016-08-16,13062.0,1.5759999752044678
2016-08-17,13111.0,1.5609999895095825
2016-08-18,13115.0,1.5360000133514404
2016-08-19,13109.0,1.5779999494552612
2016-08-22,13179.0,1.5390000343322754
2016-08-23,13209.0,1.5529999732971191
2016-08-24,13234.0,1.559000015258789
2016-08-25,13258.0,1.5770000219345093
2016-08-26,13246.0,1.6349999904632568
2016-08-29,13310.0,1.565999984741211
2016-08-30,13248.0,1.5700000524520874
2016-08-31,13283.0,1.5679999589920044
2016-09-01,13280.0,1.5700000524520874
2016-09-02,13273.0,1.5959999561309814
2016-09-05,13195.0,
2016-09-06,13125.0,1.5429999828338623
2016-09-07,13058.0,1.5410000085830688
2016-09-08,13070.0,1.6160000562667847
2016-09-09,13071.0,1.6720000505447388
2016-09-12,13176.0,1.6720000505447388
2016-09-13,13172.0,1.7339999675750732
2016-09-14,13241.0,1.6890000104904175
2016-09-15,13191.0,1.7029999494552612
2016-09-16,13144.0,1.7009999752044678
2016-09-19,13163.0,1.6959999799728394
2016-09-20,13139.0,1.687999963760376
2016-09-21,13158.0,1.6679999828338623
2016-09-22,13058.0,1.6319999694824219
2016-09-23,13062.0,1.6150000095367432
2016-09-26,13053.0,1.5889999866485596
2016-09-27,13039.0,1.555999994277954
2016-09-28,12917.0,1.5670000314712524
2016-09-29,12921.0,1.5570000410079956
2016-09-30,13003.0,1.6080000400543213
2016-10-03,12966.0,1.621999979019165
2016-10-04,12962.0,1.6829999685287476
2016-10-05,13031.0,1.715999960899353
2016-10-06,13014.0,1.7419999837875366
2016-10-07,13005.0,1.7359999418258667
2016-10-10,12967.0,1.7230000495910645
2016-10-11,12926.0,1.7589999437332153
2016-10-12,13068.0,1.777999997138977
2016-10-13,13019.0,1.7380000352859497
2016-10-14,13044.0,1.7940000295639038
2016-10-17,13092.0,1.7660000324249268
2016-10-18,13051.0,1.7489999532699585
2016-10-19,13020.0,1.7519999742507935
2016-10-20,12972.0,1.746999979019165
2016-10-21,13005.0,1.7400000095367432
2016-10-24,13050.0,1.7630000114440918
2016-10-25,13012.0,1.7580000162124634
2016-10-26,12976.0,1.7899999618530273
2016-10-27,13024.0,1.843000054359436
2016-10-28,13053.0,1.8450000286102295
2016-10-31,13063.0,1.8339999914169312
2016-11-01,13013.0,1.8200000524520874
2016-11-02,13038.0,1.7990000247955322
2016-11-03,13046.0,1.812000036239624
2016-11-04,13068.0,1.7829999923706055
2016-11-07,13115.0,1.8279999494552612
2016-11-08,13087.0,1.8619999885559082
2016-11-09,13041.0,2.072000026702881
2016-11-10,13137.0,2.117000102996826
2016-11-11,13588.0,
2016-11-14,13342.0,2.2219998836517334
2016-11-15,13459.0,2.23799991607666
2016-11-16,13313.0,2.2230000495910645
2016-11-17,13368.0,2.2760000228881836
2016-11-18,13411.0,2.3350000381469727
2016-11-21,13479.0,2.3389999866485596
2016-11-22,13412.0,2.321000099182129
2016-11-23,13432.0,2.3570001125335693
2016-11-24,13607.0,
2016-11-25,13558.0,2.371999979019165
2016-11-28,13480.0,2.319999933242798
2016-11-29,13479.0,2.302000045776367
2016-11-30,13502.0,2.368000030517578
2016-12-01,13572.0,2.440999984741211
2016-12-02,13518.0,2.390000104904175
2016-12-05,13640.0,2.38700008392334
2016-12-06,13436.0,2.3959999084472656
2016-12-07,13296.0,2.3469998836517334
2016-12-08,13277.0,2.38700008392334
2016-12-09,13306.0,2.4639999866485596
2016-12-12,13357.0,2.4790000915527344
2016-12-13,13278.0,2.4809999465942383
