date,realized_variance,variance_EWMA(lambda=0.94),"variance_GARCH(1,1)","variance_EGARCH(1,1)","variance_GJR-GARCH(1,1)"
2024-07-22,0.016813184947671773,0.13367261139423664,0.15263760475069466,0.1717035579128532,0.15153129838935345
2024-07-23,0.0076710809047126766,0.12666104580744275,0.14230961835672734,0.158942101081981,0.14147218223816121
2024-07-24,0.0001231090980594581,0.11952164791327893,0.1321764376461483,0.14447288230028413,0.13152961825090387
2024-07-25,0.02185604410306615,0.11235773558436576,0.12243801992103474,0.12652298068660203,0.12193070510860152
2024-07-26,0.3174989886982932,0.10692763409548778,0.1154103041159877,0.11984558074234118,0.11510912109055634
2024-07-29,0.11288327990988037,0.11956191537165611,0.13621689838806272,0.14502617432810447,0.13774067869842158
2024-07-30,0.013174220034296535,0.11916119724394957,0.13745038530791187,0.15056838511275927,0.1379980551495036
2024-07-31,0.02698261072900775,0.11280197861137038,0.12824471909540916,0.13903625194351593,0.12887320125530208
2024-08-01,0.2035357384255386,0.10765281653842862,0.12112040001931579,0.13227047531946137,0.12188057249170672
2024-08-02,0.025543391121508618,0.11340579185165522,0.13258963351792272,0.14700888440753412,0.13169605542942558
2024-08-05,2.7756701618414437,0.10813404780784643,0.12492652151560178,0.13913034356584775,0.12430434750581332
2024-08-06,1.4802387739725653,0.2681862146498624,0.3818876797593262,0.2822750134601082,0.3589805629624804
2024-08-07,0.11850842113618747,0.3409093682092247,0.48624978759916687,0.38782160103092256,0.47432073818686266
2024-08-08,0.6459742407796413,0.32756531138484246,0.45489911964020036,0.3738835369311964,0.4435727146157363
2024-08-09,0.07561564305647868,0.3466698471485304,0.47734537390193416,0.4157315376337693,0.46226980806416607
2024-08-12,0.14629215701932732,0.3304065949030073,0.44264160266885205,0.3911136632658479,0.42880128000756745
2024-08-13,0.03809649838329342,0.3193597286299865,0.418123634505346,0.3811812506880932,0.40479457952509296
2024-08-14,1.594033922141392,0.30248393481518493,0.38455177972714427,0.35077441659863223,0.37302061197368247
2024-08-15,0.6817371474698417,0.3799769340547574,0.5042968414088818,0.45471338132459893,0.4813085206637228
2024-08-16,0.7460885160354658,0.3980825468596625,0.5254955325440158,0.4959937773021204,0.4996124465415727
2024-08-19,0.2098054104602095,0.4189629050102107,0.5474645601606614,0.5471884805145187,0.5287027472336462
2024-08-20,1.0515534671737967,0.4064134553372106,0.5191846071616801,0.5318813311199327,0.5009903442928875
2024-08-21,0.2737094812552528,0.4451218560474058,0.5743714636135614,0.5990492476457829,0.5498631377427371
2024-08-22,0.07377540512433585,0.4348371135598766,0.5497212938846826,0.5878566847089853,0.5258298787083333
2024-08-23,2.454586685698879,0.4131734110537441,0.5069201744831935,0.5430567938197982,0.4861435003909083
2024-08-26,5.102379716798341,0.5356582075324523,0.6909886233736879,0.7177554218290811,0.6868426796799396
2024-08-27,0.30672480073510516,0.8096614980884058,1.1157692058759947,1.0192577864937333,1.0714859472747453
2024-08-28,0.0008467079386730768,0.7794852962472077,1.040884557498515,0.9742792873891386,1.0035249073789279
2024-08-29,0.03075174550787768,0.7327669809486956,0.9451643277654771,0.8390384501872712,0.9123274062771451
2024-08-30,0.0009660899142614769,0.6906460668222465,0.8617364359021157,0.7491394279342841,0.8326490470746997
2024-09-02,0.2682476888149836,0.6492652682077674,0.7829811207516418,0.647564471485224,0.7574554294298621
2024-09-03,0.0009966330475978894,0.6264042134442004,0.7360253034695858,0.633623207084086,0.7151008321819289
2024-09-04,0.006797134536621619,0.5888797586204042,0.669295145110646,0.5517477130988113,0.6510300091797948
2024-09-05,0.326483885662142,0.5539548011753772,0.6092068007159729,0.4855634444126966,0.5933094298981095
2024-09-06,0.0315313430795826,0.5403065462445831,0.5863492659775295,0.49071994492847093,0.5698724742082976
2024-09-09,0.006063186053449776,0.509780034054683,0.5369636229319812,0.44608461323691057,0.5223244246090796
2024-09-10,0.11268719068299299,0.47955702317460897,0.4896463219963308,0.3957298080521491,0.4768286975707502
2024-09-11,0.04330857491842773,0.45754483322511197,0.45608922898301085,0.38037450771543446,0.44550088161979645
2024-09-12,0.11308890372226355,0.4326906577267109,0.4193916919200491,0.3515452661765825,0.4104116122195381
2024-09-13,0.014069614237141023,0.41351455248644403,0.3938409521365202,0.3402343828451516,0.38516161920689246
2024-09-16,0.027829263542400343,0.3895478561914858,0.360908920257988,0.3077806729123984,0.353278596020739
2024-09-17,0.0027024595003687247,0.36784474063254063,0.33249112196996555,0.28388448328891047,0.3256652939543648
2024-09-18,0.06777278679053,0.3459362037646103,0.3041595522352111,0.25235155906974704,0.2982383461361376
2024-09-19,0.0854846082348305,0.3292463987461655,0.2850777992679989,0.24301666153039023,0.2794178624614555
2024-09-20,0.4527160916090906,0.3146206913154854,0.26954165821741727,0.2374359404724147,0.2639551435204915
2024-09-23,0.08253964874651078,0.3229064153331017,0.29098329525726174,0.2688301405712933,0.28247805332294285
