date,log_return_pct,high_vol_probability_filtered,high_vol_probability_smoothed
2016-08-02,-0.07683442560092923,0.0366704797105592,0.010891856842672389
2016-08-03,0.6283064114520169,0.08084263651966694,0.01682342801726697
2016-08-04,0.3659656417530352,0.05125835487241386,0.009329859149435384
2016-08-05,-0.281980143401621,0.03325864655755619,0.005798363020290251
2016-08-08,0.14489993002375842,0.021015460950065148,0.0037967740640120666
2016-08-09,-0.12963741473161702,0.017680378090016158,0.0033366735786400244
2016-08-10,-0.030527360383606737,0.015697350903939165,0.003073820378029953
2016-08-11,-0.13748856427945316,0.016346667341742248,0.0032288934886353328
2016-08-12,0.11458692671227,0.01589578852557364,0.003188440489375578
2016-08-15,0.061059382144323396,0.015295389221774586,0.0034634663428904514
2016-08-16,-0.33628891368397146,0.02326103918016147,0.0052300363014891
2016-08-17,0.3744321036799378,0.027754729893237032,0.005398061049197975
2016-08-18,0.03050408015723352,0.018241215391892482,0.003720026141928559
2016-08-19,-0.04575961031648642,0.01592746857059154,0.004263759428378006
2016-08-22,0.532563644608009,0.04108998354638036,0.008380374278525372
2016-08-23,0.2273761779974225,0.02582375591253855,0.004910080728296573
2016-08-24,0.18908601481413503,0.019936400643196912,0.0038701597872311502
2016-08-25,0.18118682293320482,0.018039739205994682,0.0037626514049324718
2016-08-26,-0.0905523756412076,0.01628720086809319,0.004475784144972818
2016-08-29,0.4820012344232549,0.03447950431630893,0.008857064311167343
2016-08-30,-0.46690347641164176,0.04549197342751722,0.009366350133731358
2016-08-31,0.2638424507462385,0.028965410462765122,0.005549203870135376
2016-09-01,-0.022587810207843284,0.01859742563859174,0.004325523006884201
2016-09-02,-0.05272474042225489,0.0160685680292946,0.006738326276335548
2016-09-05,-0.5893926688777801,0.055779708782964586,0.019357653358708725
2016-09-06,-0.5319161477599933,0.07306784763424436,0.020395738439448887
2016-09-07,-0.5117835713245746,0.07964317663651958,0.016305949107286714
2016-09-08,0.09185548716888431,0.032953081039104395,0.008109951428020637
2016-09-09,0.007650816728408351,0.01956947360432979,0.010832561826345722
2016-09-12,0.800095707192455,0.14511227106914515,0.032813206590302214
2016-09-13,-0.03036283612213747,0.05136731680815238,0.012866078807426847
2016-09-14,0.5224711843501859,0.06288611624566173,0.013316183664497721
2016-09-15,-0.37832974908369926,0.04740266336271497,0.009450774215967829
2016-09-16,-0.35693981318158047,0.03808359621378158,0.007018883871372375
2016-09-19,0.14444827083036232,0.022359711454872106,0.004534229048728225
2016-09-20,-0.182495678358554,0.01925211952393533,0.005240734282589824
2016-09-21,0.14450320041211204,0.01712027064139688,0.009498625153889077
2016-09-22,-0.7628965899364416,0.1278250401607276,0.029563893892719493
2016-09-23,0.030627871602365127,0.04600040658534581,0.010985111351597042
2016-09-26,-0.06892590738126493,0.023537853590161976,0.010403780480305394
2016-09-27,-0.10731259653175042,0.017997958176321216,0.02543459730286949
2016-09-28,-0.9400593191456693,0.3178802857820098,0.09507064226915882
2016-09-29,0.030962149020470106,0.1098311255727502,0.03517532514666972
2016-09-30,0.6326205329099668,0.153569311643792,0.030033696928132857
2016-10-03,-0.2849553316378883,0.07271566063231685,0.012294803556405793
2016-10-04,-0.030854674727968077,0.030420323331011218,0.006732642727639258
2016-10-05,0.530913415724472,0.05062089145867023,0.009799983982000198
2016-10-06,-0.13054330899766098,0.026046845860264633,0.006144855173434054
2016-10-07,-0.06918021721774588,0.018176772605237174,0.008667647100989996
2016-10-10,-0.2926230333867637,0.0220012301888813,0.02529972886118811
2016-10-11,-0.3166881726043496,0.02469905058659807,0.07690517107289187
2016-10-12,1.092570689812009,0.5886893494923313,0.23541921864227375
2016-10-13,-0.37566648235636796,0.35289715859547316,0.08411613550856648
2016-10-14,0.1918429011812609,0.1374788113433349,0.02538319868462451
2016-10-17,0.36730987118612846,0.07649238321108894,0.012556302986910569
2016-10-18,-0.3136597453543411,0.04556679040456778,0.007654611175130993
2016-10-19,-0.23781224049674357,0.02862314876363037,0.005650802358260903
2016-10-20,-0.36934483353516095,0.031147281067834817,0.006200130692608396
2016-10-21,0.25407104555433035,0.023774706642921105,0.004984819214587193
2016-10-24,0.34542348680876034,0.025972588558854537,0.0054406810236181545
2016-10-25,-0.29161251575974323,0.024744724292913307,0.005251843626358702
2016-10-26,-0.27705112380479213,0.023555241379074478,0.005143614293357518
2016-10-27,0.369231188712737,0.027497625266445523,0.005443823172314404
2016-10-28,0.222418314646816,0.021428374244113826,0.004163803145727161
2016-10-31,0.076581409777339,0.016847638147822343,0.003777019882902426
2016-11-01,-0.38349487098059243,0.027113448971133068,0.0055599128559334614
2016-11-02,0.19193127077272612,0.020389773644201338,0.004161563061016305
