date,usd_idr,us10y_yield,log_return_pct,us10y_change_bp,return_lag_1,abs_return_lag_1,return_lag_2,abs_return_lag_2,return_lag_5,abs_return_lag_5,return_lag_10,abs_return_lag_10,return_lag_20,abs_return_lag_20,rolling_vol_5,rolling_vol_20,us10y_change_bp_lag_1,direction_up,high_vol_probability_filtered,high_vol_probability_filtered_lag_1,high_vol_probability_smoothed
2016-08-02,13010.0,1.5369999408721924,-0.07683442560092923,4.09998893737793,-0.2914335984018554,0.2914335984018554,-0.30585740314200904,0.30585740314200904,-0.1373626589611979,0.1373626589611979,0.12241776586188523,0.12241776586188523,-0.4202489470552044,0.4202489470552044,0.3853811316574964,0.38360270183136636,3.8000106811523438,0,0.0366704797105592,0.09231864794169105,0.010891856842672389
2016-08-03,13092.0,1.5420000553131104,0.6283064114520169,0.5000114440917969,-0.07683442560092923,0.07683442560092923,-0.2914335984018554,0.2914335984018554,0.510341207425207,0.510341207425207,0.11463071065320027,0.11463071065320027,0.7627802048886068,0.7627802048886068,0.386525895648067,0.3730551993946687,4.09998893737793,1,0.08084263651966694,0.0366704797105592,0.01682342801726697
2016-08-04,13140.0,1.503000020980835,0.3659656417530352,-3.900003433227539,0.6283064114520169,0.6283064114520169,-0.07683442560092923,0.07683442560092923,-0.4874343238065533,0.4874343238065533,0.0916100529753535,0.0916100529753535,0.3943581631372187,0.3943581631372187,0.43585409375462975,0.3591734965508885,0.5000114440917969,1,0.05125835487241386,0.08084263651966694,0.009329859149435384
2016-08-05,13103.0,1.5820000171661377,-0.281980143401621,7.899999618530273,0.3659656417530352,0.3659656417530352,0.6283064114520169,0.6283064114520169,-0.30585740314200904,0.30585740314200904,0.0457735741895158,0.0457735741895158,-0.8513277321437338,0.8513277321437338,0.4161090144035339,0.3574771027617666,-3.900003433227539,0,0.03325864655755619,0.05125835487241386,0.005798363020290251
2016-08-08,13122.0,1.5829999446868896,0.14489993002375842,0.09999275207519531,-0.281980143401621,0.281980143401621,0.3659656417530352,0.3659656417530352,-0.2914335984018554,0.2914335984018554,0.015253203202233948,0.015253203202233948,0.0381606568263821,0.0381606568263821,0.4109072837401477,0.30759386487013546,7.899999618530273,1,0.021015460950065148,0.03325864655755619,0.0037967740640120666
2016-08-09,13105.0,1.5449999570846558,-0.12963741473161702,-3.7999987602233887,0.14489993002375842,0.14489993002375842,-0.281980143401621,0.281980143401621,-0.07683442560092923,0.07683442560092923,-0.1373626589611979,0.1373626589611979,0.11439467405732358,0.11439467405732358,0.3582319705089697,0.30919176519980335,0.09999275207519531,0,0.017680378090016158,0.021015460950065148,0.0033366735786400244
2016-08-10,13101.0,1.508999943733215,-0.030527360383606737,-3.600001335144065,-0.12963741473161702,0.12963741473161702,0.14489993002375842,0.14489993002375842,0.6283064114520169,0.6283064114520169,0.510341207425207,0.510341207425207,-0.3435773564956374,0.3435773564956374,0.36747359075591374,0.30952400718198975,-3.7999987602233887,0,0.015697350903939165,0.017680378090016158,0.003073820378029953
2016-08-11,13083.0,1.5729999542236328,-0.13748856427945316,6.40000104904177,-0.030527360383606737,0.030527360383606737,-0.12963741473161702,0.12963741473161702,0.3659656417530352,0.3659656417530352,-0.4874343238065533,0.4874343238065533,-0.4599471504457903,0.4599471504457903,0.25061569949366375,0.29928552987661466,-3.600001335144065,0,0.016346667341742248,0.015697350903939165,0.0032288934886353328
2016-08-12,13098.0,1.5149999856948853,0.11458692671227,-5.799996852874756,-0.13748856427945316,0.13748856427945316,-0.030527360383606737,0.030527360383606737,-0.281980143401621,0.281980143401621,-0.30585740314200904,0.30585740314200904,0.03840983338945147,0.03840983338945147,0.15759998647712167,0.2807519672484275,6.40000104904177,1,0.01589578852557364,0.016346667341742248,0.003188440489375578
2016-08-15,13106.0,1.5529999732971191,0.061059382144323396,3.7999987602233887,0.11458692671227,0.11458692671227,-0.13748856427945316,0.13748856427945316,0.14489993002375842,0.14489993002375842,-0.2914335984018554,0.2914335984018554,0.3220614700042157,0.3220614700042157,0.1327363003782881,0.28144427155922425,-5.799996852874756,1,0.015295389221774586,0.01589578852557364,0.0034634663428904514
